textID,text,timestamps
f87dea47db,Last session of the day  http://twitpic.com/67ezh,2012-12-30 23:56:11+00:00
96d74cb729,exciting,2012-12-30 23:31:55+00:00
eee518ae67,Recession,2012-12-30 23:24:56+00:00
01082688c6, happy bday!,2012-12-30 23:23:26+00:00
33987a8ee5,I like it!!,2012-12-30 23:20:13+00:00
726e501993,visitors!,2012-12-30 23:11:09+00:00
261932614e,HATES,2012-12-30 23:09:53+00:00
afa11da83f,blocked,2012-12-30 23:06:24+00:00
e64208b4ef, and within a short time of the last clue all of them,2012-12-30 23:02:10+00:00
37bcad24ca, What did you get?  My day is alright.. haven`t done anything yet. leaving soon to my stepsister though!,2012-12-30 23:00:02+00:00
24c92644a4,My bike was put on hold...should have known that.... argh total bummer,2012-12-30 22:54:18+00:00
43b390b336, I checked.  We didn`t win,2012-12-30 22:52:43+00:00
69d6b5d93e, .. and you`re on twitter! Did the tavern bore you that much?,2012-12-30 22:40:24+00:00
5c1e0b61a1,"sad,",2012-12-30 22:36:35+00:00
504e45d9d9,I feel like my phones hole is not a virgin. That`s how loose it is... :`(,2012-12-30 22:27:35+00:00
ae93ad52a0,hate,2012-12-30 22:14:59+00:00
9fce30159a, Miss you,2012-12-30 21:57:33+00:00
00d5195223,Cramps . . .,2012-12-30 21:49:10+00:00
33f19050cf,nice,2012-12-30 21:40:44+00:00
f7718b3c23,"I`m going into a spiritual stagnentation, its exploding my ego!. I now realise, i`m not all that great. and I`m ok with that.",2012-12-30 21:37:55+00:00
9ef44428d0,Stupid storm.,2012-12-30 21:35:32+00:00
be634ebeb0,My dead grandpa pays more attention to me than you do,2012-12-30 21:32:52+00:00
3dcf4f7e13,bad.,2012-12-30 21:30:10+00:00
f0ef04109b,about to go to sleep,2012-12-30 21:07:24+00:00
8be365118e,lame,2012-12-30 21:07:05+00:00
c50bdd4567,thats so cool,2012-12-30 21:04:59+00:00
334954f215,"hey peoples, dont you just hate being grounded haha, im just sat eating an apple and watching death note (some anime)",2012-12-30 21:01:41+00:00
b783916431,"Huh, another ScarePoint coding Sunday",2012-12-30 20:59:44+00:00
1fa8e6ad66, look who I found just for you  --->  http://twitter.com/DJT2009,2012-12-30 20:53:39+00:00
be38b29042,"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",2012-12-30 20:47:45+00:00
95701e8ed9, guess that depends on if you want to be on the jury,2012-12-30 20:46:40+00:00
4dd58ecd2c,resorted to eating Mickey Ds ALONE.,2012-12-30 20:45:16+00:00
cf553cccd5,"There is a faux gothy chick looking at me, sorry I am not going to camden and I like pop-punk and jimmy eat world",2012-12-30 20:44:55+00:00
55c69c2d52, did he ask for your Twitter ID? Your sun sign?,2012-12-30 20:43:24+00:00
9b1a52cc02, where`d you go!,2012-12-30 20:28:25+00:00
cce5c4744a,good film,2012-12-30 20:19:33+00:00
c7f9d559e2,Happy mothers day mumm,2012-12-30 20:11:53+00:00
3d2478db59,So I really need to put the laptop down & start getting ready for  shindig...But I`ve missed my TwitterLoves all day,2012-12-30 20:09:54+00:00
6d846d7d50,sorry,2012-12-30 20:09:02+00:00
599f51af6b,feels sorry,2012-12-30 20:08:40+00:00
87daa62920,u tweet too much,2012-12-30 20:04:22+00:00
6506dc55ff, I always forget SOMETHING when I travel. I am at Newark airport.,2012-12-30 20:03:24+00:00
746d87f93e,Should have left car and walked home! I might need someone to rescue me with petrol! Light flashing,2012-12-30 19:58:16+00:00
ef7ef8e474,i`m only updating this so that brett`s phone beeps  but really.. looking at wedding stuff. again.for the next five months.,2012-12-30 19:56:59+00:00
d3d7b13278,"happy,",2012-12-30 19:50:18+00:00
ddc07db84e,Hope ur havin fun,2012-12-30 19:48:51+00:00
67afe60d31,i miss my old phone it worked so good until i dropped it  i want a new one for my birthday...,2012-12-30 19:48:08+00:00
17d18ba9ef,wonderful,2012-12-30 19:48:06+00:00
ab57d75f20,im really,2012-12-30 19:43:02+00:00
f0acd25d8e,Not happy,2012-12-30 19:42:40+00:00
cf3b068b03,Is watching acoustic performances! & In the mood for a good 'FRIENDS' episode! I miss that show,2012-12-30 19:40:57+00:00
d6c34fa875, I`ll oscillate from one to the other.,2012-12-30 19:39:52+00:00
614aed9113,I`m so very tired...and have insomnia.,2012-12-30 19:39:11+00:00
dfa577d3c1, Thanks Ennio,2012-12-30 19:30:18+00:00
10dcbe4dfb, you should totally come get me and bring me to kelslaws house with you.,2012-12-30 19:30:15+00:00
a0bfb12773," You seem nice, you`re generous and you know your stuff",2012-12-30 19:27:06+00:00
71f4a9b495, U so dirrrrrty... Why oh why did I pick the Hawks  I figured I needed a longshot and they were a better bet than CAR,2012-12-30 19:10:25+00:00
d33ed264b3,almost got a kitty yesterday...but it didn`t work out,2012-12-30 19:10:01+00:00
77f88ea9e2,"reality needs to check in. schools over. time to party  not tonight tho, im going to bed. night, night.",2012-12-30 19:09:29+00:00
fe1deac869,   Caladesi was definitely a nice peaceful way to spend a Sunday! I got a lil tan!,2012-12-30 19:08:38+00:00
e591a725ef, i still dont know what we would do though,2012-12-30 19:06:45+00:00
2dbb28cc29,"_xo   dang it, so its not certain ? ? ? are you okay?",2012-12-30 18:58:28+00:00
a7e4ad250a,Change of plans. I am staying in Brandon.  No Papaya Salad for me.,2012-12-30 18:53:33+00:00
7d87899024,suck.,2012-12-30 18:48:42+00:00
461b51fa58,at starbucks with my love. eff school. i have work later too.,2012-12-30 18:46:45+00:00
c31d79c440,cried,2012-12-30 18:42:55+00:00
32ee7ef6c2,looking forward to an exciting bank holiday around the diy shops...,2012-12-30 18:15:19+00:00
29f805a7d2,Terminator Salvation... by myself.,2012-12-30 18:14:15+00:00
d41fe360e4,loss.,2012-12-30 18:09:03+00:00
a04c8c8695, Why do I have to enter my registration details every time I update?,2012-12-30 18:05:45+00:00
25e42b2bf2,i love you,2012-12-30 18:05:39+00:00
5843d17b1d,cute..,2012-12-30 18:02:05+00:00
474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,2012-12-30 17:58:37+00:00
38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",2012-12-30 17:58:05+00:00
972dc5787d,yr very young looking dude,2012-12-30 17:55:19+00:00
0ba6aaf9aa,ignore,2012-12-30 17:54:13+00:00
7a81537034,**** you AT&T!,2012-12-30 17:53:55+00:00
311d2b185b,Berwick breaks my achy breaky heart,2012-12-30 17:53:15+00:00
1e46d72ec6,wish,2012-12-30 17:53:11+00:00
390f169584, im a lady and ladies don`t move couches. they direct where the couches go,2012-12-30 17:36:31+00:00
58129e4130,Yay,2012-12-30 17:24:36+00:00
e6c9e5e3ab, 26th February,2012-12-30 17:14:32+00:00
cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,2012-12-30 17:13:32+00:00
a14b4ff440,Happy,2012-12-30 17:12:01+00:00
5d57a5eda2,Thank you!,2012-12-30 17:07:30+00:00
1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,2012-12-30 17:05:16+00:00
c2ea5cb58b,Not feeling all that well today,2012-12-30 17:05:00+00:00
cde0016d6d,"hurts,",2012-12-30 16:58:52+00:00
5fc411e8d1,_berland LMAO I know I know,2012-12-30 16:50:11+00:00
5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,2012-12-30 16:49:09+00:00
76da985a47,The underwire in my bra is sticking out and poking me in the armpit,2012-12-30 16:46:55+00:00
3a98aa4762,Happy,2012-12-30 16:45:33+00:00
886545bbab,"Yes, I am",2012-12-30 16:43:54+00:00
2afe118dc3, I can`t call Mitch!  Im from sweden!,2012-12-30 16:42:47+00:00
704c53f4cf,Happy star wars day! May the fourth be with you,2012-12-30 16:41:33+00:00
71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,2012-12-30 16:40:10+00:00
c238c4dbb7,hard!,2012-12-30 16:38:27+00:00
dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,2012-12-30 16:33:16+00:00
af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,2012-12-30 16:32:06+00:00
eb2fc4d281,hope,2012-12-30 16:30:52+00:00
f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",2012-12-30 16:28:50+00:00
54670ca807,skype call with billie but my webcam dont work,2012-12-30 16:27:36+00:00
3ab338c459,delicious,2012-12-30 16:24:55+00:00
c7c7f7f025,FML not having a car is prohibiting finding a job,2012-12-30 16:24:40+00:00
1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",2012-12-30 16:23:29+00:00
990cdeae87, I want to see David cook!!,2012-12-30 16:21:30+00:00
9a55d83c79, yeh me 2,2012-12-30 16:20:32+00:00
c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,2012-12-30 16:17:01+00:00
0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",2012-12-30 16:16:41+00:00
297f7d9e0f,i miss braddddddddd,2012-12-30 16:05:15+00:00
68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,2012-12-30 15:55:39+00:00
3112944847,ughh on the phone with HP!,2012-12-30 15:54:37+00:00
8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',2012-12-30 15:54:22+00:00
322546026e, yay about breaking 200!,2012-12-30 15:51:04+00:00
e6c154f9be,sadly,2012-12-30 15:48:01+00:00
e96d849b35,parties  Tis awesome,2012-12-30 15:40:54+00:00
124e30d941,happy,2012-12-30 15:21:40+00:00
fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,2012-12-30 15:04:38+00:00
e90acf3c42,thats rough.,2012-12-30 15:01:19+00:00
0b0944285d,might have to go back much earlier than expected. bye bye bay area,2012-12-30 15:00:47+00:00
a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",2012-12-30 14:51:25+00:00
161bfc7c8a,good,2012-12-30 14:51:07+00:00
4a65010643, riley hacked my twitter!  hahaha :],2012-12-30 14:46:15+00:00
1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,2012-12-30 14:45:17+00:00
43e91a5488,liked,2012-12-30 14:39:59+00:00
410dd99aa3,man im so sad school is ending  but then again high school might be better :O,2012-12-30 14:39:43+00:00
b3eadfc565,"Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",2012-12-30 14:39:39+00:00
480894125b,the absoute best,2012-12-30 14:35:22+00:00
